id,invoice_id,credit_card_number,credit_card_expiration_date,result,created_at,updated_at
941,74,4988736743808526,0820,success,2012-02-26 20:57:27 UTC,2012-02-26 20:57:27 UTC
3285,74,4179473623203529,0912,success,2012-02-26 20:58:44 UTC,2012-02-26 20:58:44 UTC
2479,139,4198533248739194,0413,success,2012-02-26 20:58:17 UTC,2012-02-26 20:58:17 UTC
2176,269,4502607272938342,0417,success,2012-02-26 20:58:08 UTC,2012-02-26 20:58:08 UTC
4317,269,4114467809032819,0917,failed,2012-02-26 20:59:17 UTC,2012-02-26 20:59:17 UTC
1709,1695,4910280362684960,0715,failed,2012-02-26 20:57:53 UTC,2012-02-26 20:57:53 UTC
3649,1695,4470957541856670,0512,success,2012-02-26 20:58:55 UTC,2012-02-26 20:58:55 UTC
2678,548,4110195563560044,1215,failed,2012-02-26 20:58:24 UTC,2012-02-26 20:58:24 UTC
3959,548,4801124416033772,1119,success,2012-02-26 20:59:05 UTC,2012-02-26 20:59:05 UTC
3794,660,4848514870458519,0517,success,2012-02-26 20:59:00 UTC,2012-02-26 20:59:00 UTC
4388,1119,4911072182945943,0412,success,2012-02-26 20:59:19 UTC,2012-02-26 20:59:19 UTC
3217,1119,4719900128051907,0417,success,2012-02-26 20:58:42 UTC,2012-02-26 20:58:42 UTC
4088,1514,4340530922668423,0513,success,2012-02-26 20:59:09 UTC,2012-02-26 20:59:09 UTC
2827,1691,4295275977318373,0414,success,2012-02-26 20:58:29 UTC,2012-02-26 20:58:29 UTC
